time,total_fix,loc1start,loc2start,loc3start,screen,sub
0,0,,,,,ec105
100,3,0.0,0.0,0.0,1.0,ec105
200,4,0.0,0.0,0.0,1.0,ec105
300,54,0.12962962962962962,0.5925925925925926,0.2222222222222222,0.05555555555555555,ec105
400,55,0.14545454545454545,0.5636363636363636,0.23636363636363636,0.05454545454545454,ec105
500,55,0.14545454545454545,0.5272727272727272,0.2727272727272727,0.05454545454545454,ec105
600,48,0.22916666666666666,0.3958333333333333,0.2916666666666667,0.08333333333333333,ec105
700,48,0.5625,0.16666666666666666,0.22916666666666666,0.041666666666666664,ec105
800,54,0.7037037037037037,0.1111111111111111,0.1111111111111111,0.07407407407407407,ec105
900,57,0.6842105263157895,0.12280701754385964,0.14035087719298245,0.05263157894736842,ec105
1000,53,0.6981132075471698,0.16981132075471697,0.09433962264150944,0.03773584905660377,ec105
1100,58,0.5862068965517241,0.20689655172413793,0.1724137931034483,0.034482758620689655,ec105
1200,55,0.6,0.2,0.16363636363636364,0.03636363636363636,ec105
1300,55,0.509090909090909,0.18181818181818182,0.2727272727272727,0.03636363636363636,ec105
1400,59,0.4406779661016949,0.22033898305084745,0.288135593220339,0.05084745762711865,ec105
1500,57,0.47368421052631576,0.22807017543859648,0.22807017543859648,0.07017543859649122,ec105
1600,56,0.44642857142857145,0.21428571428571427,0.30357142857142855,0.03571428571428571,ec105
1700,55,0.4727272727272727,0.16363636363636364,0.32727272727272727,0.03636363636363636,ec105
1800,52,0.5384615384615384,0.11538461538461539,0.3076923076923077,0.038461538461538464,ec105
1900,54,0.5555555555555556,0.09259259259259259,0.2962962962962963,0.05555555555555555,ec105
2000,56,0.5535714285714286,0.14285714285714285,0.25,0.05357142857142857,ec105
2100,55,0.5454545454545454,0.12727272727272726,0.2727272727272727,0.05454545454545454,ec105
2200,57,0.5087719298245614,0.14035087719298245,0.2982456140350877,0.05263157894736842,ec105
2300,55,0.4909090909090909,0.16363636363636364,0.2909090909090909,0.05454545454545454,ec105
2400,56,0.5178571428571429,0.17857142857142858,0.2857142857142857,0.017857142857142856,ec105
2500,54,0.5370370370370371,0.2222222222222222,0.2037037037037037,0.037037037037037035,ec105
2600,59,0.5423728813559322,0.2033898305084746,0.2033898305084746,0.05084745762711865,ec105
2700,59,0.576271186440678,0.1694915254237288,0.23728813559322035,0.01694915254237288,ec105
2800,58,0.5344827586206896,0.1724137931034483,0.27586206896551724,0.017241379310344827,ec105
2900,62,0.532258064516129,0.1774193548387097,0.25806451612903225,0.03225806451612903,ec105
3000,60,0.5333333333333333,0.21666666666666667,0.21666666666666667,0.03333333333333333,ec105
3100,58,0.5517241379310345,0.20689655172413793,0.20689655172413793,0.034482758620689655,ec105
3200,57,0.5614035087719298,0.21052631578947367,0.17543859649122806,0.05263157894736842,ec105
3300,58,0.603448275862069,0.1896551724137931,0.1724137931034483,0.034482758620689655,ec105
3400,57,0.631578947368421,0.19298245614035087,0.14035087719298245,0.03508771929824561,ec105
3500,58,0.6206896551724138,0.22413793103448276,0.1206896551724138,0.034482758620689655,ec105
3600,55,0.6,0.2,0.12727272727272726,0.07272727272727272,ec105
3700,63,0.6190476190476191,0.2222222222222222,0.12698412698412698,0.031746031746031744,ec105
3800,63,0.6507936507936508,0.2222222222222222,0.09523809523809523,0.031746031746031744,ec105
3900,57,0.7017543859649122,0.15789473684210525,0.10526315789473684,0.03508771929824561,ec105
4000,61,0.6885245901639344,0.16393442622950818,0.11475409836065574,0.03278688524590164,ec105
4100,61,0.7540983606557377,0.13114754098360656,0.08196721311475409,0.03278688524590164,ec105
4200,62,0.7096774193548387,0.11290322580645161,0.12903225806451613,0.04838709677419355,ec105
4300,60,0.6833333333333333,0.11666666666666667,0.16666666666666666,0.03333333333333333,ec105
4400,63,0.7301587301587301,0.06349206349206349,0.1746031746031746,0.031746031746031744,ec105
4500,63,0.7301587301587301,0.06349206349206349,0.15873015873015872,0.047619047619047616,ec105
4600,63,0.7301587301587301,0.047619047619047616,0.1746031746031746,0.047619047619047616,ec105
4700,62,0.7580645161290323,0.04838709677419355,0.16129032258064516,0.03225806451612903,ec105
4800,64,0.75,0.046875,0.171875,0.03125,ec105
4900,64,0.734375,0.046875,0.1875,0.03125,ec105
5000,62,0.7580645161290323,0.04838709677419355,0.16129032258064516,0.03225806451612903,ec105
5100,0,,,,,ec105
5200,0,,,,,ec105
5300,0,,,,,ec105
5400,0,,,,,ec105
0,0,,,,,ec106
100,17,0.17647058823529413,0.17647058823529413,0.0,0.6470588235294118,ec106
200,23,0.21739130434782608,0.17391304347826086,0.043478260869565216,0.5652173913043478,ec106
300,56,0.30357142857142855,0.375,0.26785714285714285,0.05357142857142857,ec106
400,58,0.29310344827586204,0.3793103448275862,0.29310344827586204,0.034482758620689655,ec106
500,55,0.2909090909090909,0.32727272727272727,0.38181818181818183,0.0,ec106
600,57,0.3684210526315789,0.2807017543859649,0.3333333333333333,0.017543859649122806,ec106
700,58,0.39655172413793105,0.29310344827586204,0.3103448275862069,0.0,ec106
800,53,0.41509433962264153,0.2641509433962264,0.32075471698113206,0.0,ec106
900,56,0.5535714285714286,0.21428571428571427,0.23214285714285715,0.0,ec106
1000,54,0.6111111111111112,0.14814814814814814,0.24074074074074073,0.0,ec106
1100,56,0.625,0.08928571428571429,0.25,0.03571428571428571,ec106
1200,55,0.6545454545454545,0.09090909090909091,0.23636363636363636,0.01818181818181818,ec106
1300,54,0.6481481481481481,0.12962962962962962,0.2037037037037037,0.018518518518518517,ec106
1400,50,0.62,0.14,0.22,0.02,ec106
1500,55,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,ec106
1600,56,0.625,0.16071428571428573,0.21428571428571427,0.0,ec106
1700,55,0.5636363636363636,0.18181818181818182,0.23636363636363636,0.01818181818181818,ec106
1800,54,0.5740740740740741,0.2037037037037037,0.2222222222222222,0.0,ec106
1900,61,0.5573770491803278,0.2459016393442623,0.19672131147540983,0.0,ec106
2000,59,0.4915254237288136,0.288135593220339,0.22033898305084745,0.0,ec106
2100,57,0.49122807017543857,0.3684210526315789,0.14035087719298245,0.0,ec106
2200,59,0.4745762711864407,0.3728813559322034,0.13559322033898305,0.01694915254237288,ec106
2300,61,0.47540983606557374,0.36065573770491804,0.14754098360655737,0.01639344262295082,ec106
2400,59,0.4406779661016949,0.3389830508474576,0.22033898305084745,0.0,ec106
2500,55,0.4727272727272727,0.2909090909090909,0.23636363636363636,0.0,ec106
