time,total_fix,loc1start,loc2start,loc3start,screen,sub
0,0,,,,,ec105
100,2,0.0,0.0,0.0,1.0,ec105
200,4,0.0,0.0,0.0,1.0,ec105
300,43,0.13953488372093023,0.6046511627906976,0.18604651162790697,0.06976744186046512,ec105
400,43,0.16279069767441862,0.5813953488372093,0.20930232558139536,0.046511627906976744,ec105
500,43,0.16279069767441862,0.5348837209302325,0.23255813953488372,0.06976744186046512,ec105
600,37,0.24324324324324326,0.40540540540540543,0.2702702702702703,0.08108108108108109,ec105
700,36,0.6111111111111112,0.1111111111111111,0.2222222222222222,0.05555555555555555,ec105
800,42,0.7857142857142857,0.047619047619047616,0.09523809523809523,0.07142857142857142,ec105
900,46,0.717391304347826,0.10869565217391304,0.10869565217391304,0.06521739130434782,ec105
1000,44,0.7272727272727273,0.1590909090909091,0.06818181818181818,0.045454545454545456,ec105
1100,47,0.6382978723404256,0.1702127659574468,0.14893617021276595,0.0425531914893617,ec105
1200,43,0.6744186046511628,0.16279069767441862,0.13953488372093023,0.023255813953488372,ec105
1300,43,0.5581395348837209,0.16279069767441862,0.23255813953488372,0.046511627906976744,ec105
1400,48,0.4791666666666667,0.20833333333333334,0.25,0.0625,ec105
1500,46,0.5,0.21739130434782608,0.1956521739130435,0.08695652173913043,ec105
1600,44,0.4772727272727273,0.20454545454545456,0.2727272727272727,0.045454545454545456,ec105
1700,46,0.4782608695652174,0.17391304347826086,0.30434782608695654,0.043478260869565216,ec105
1800,41,0.5365853658536586,0.12195121951219512,0.2926829268292683,0.04878048780487805,ec105
1900,42,0.5714285714285714,0.07142857142857142,0.2857142857142857,0.07142857142857142,ec105
2000,44,0.5681818181818182,0.13636363636363635,0.22727272727272727,0.06818181818181818,ec105
2100,43,0.5348837209302325,0.11627906976744186,0.27906976744186046,0.06976744186046512,ec105
2200,46,0.5434782608695652,0.10869565217391304,0.30434782608695654,0.043478260869565216,ec105
2300,43,0.5348837209302325,0.13953488372093023,0.27906976744186046,0.046511627906976744,ec105
2400,45,0.6,0.13333333333333333,0.24444444444444444,0.022222222222222223,ec105
2500,43,0.6046511627906976,0.16279069767441862,0.18604651162790697,0.046511627906976744,ec105
2600,47,0.6170212765957447,0.1276595744680851,0.19148936170212766,0.06382978723404255,ec105
2700,46,0.6521739130434783,0.10869565217391304,0.21739130434782608,0.021739130434782608,ec105
2800,45,0.6,0.13333333333333333,0.24444444444444444,0.022222222222222223,ec105
2900,49,0.5918367346938775,0.14285714285714285,0.22448979591836735,0.04081632653061224,ec105
3000,47,0.6170212765957447,0.1702127659574468,0.1702127659574468,0.0425531914893617,ec105
3100,46,0.5869565217391305,0.1956521739130435,0.17391304347826086,0.043478260869565216,ec105
3200,46,0.6086956521739131,0.1956521739130435,0.13043478260869565,0.06521739130434782,ec105
3300,46,0.6739130434782609,0.17391304347826086,0.10869565217391304,0.043478260869565216,ec105
3400,44,0.7045454545454546,0.1590909090909091,0.09090909090909091,0.045454545454545456,ec105
3500,46,0.717391304347826,0.17391304347826086,0.06521739130434782,0.043478260869565216,ec105
3600,45,0.6888888888888889,0.13333333333333333,0.08888888888888889,0.08888888888888889,ec105
3700,50,0.74,0.14,0.08,0.04,ec105
3800,50,0.76,0.14,0.06,0.04,ec105
