time,total_fix,loc1start,loc2start,loc3start,screen,sub
0,0,,,,,ec105
100,2,0.0,0.0,0.5,0.5,ec105
200,6,0.0,0.0,0.3333333333333333,0.6666666666666666,ec105
300,36,0.2777777777777778,0.3611111111111111,0.2777777777777778,0.08333333333333333,ec105
400,37,0.2972972972972973,0.3783783783783784,0.32432432432432434,0.0,ec105
500,34,0.29411764705882354,0.4117647058823529,0.2647058823529412,0.029411764705882353,ec105
600,32,0.4375,0.3125,0.25,0.0,ec105
700,34,0.5588235294117647,0.20588235294117646,0.23529411764705882,0.0,ec105
800,32,0.6875,0.125,0.1875,0.0,ec105
900,33,0.6666666666666666,0.15151515151515152,0.18181818181818182,0.0,ec105
1000,37,0.6486486486486487,0.10810810810810811,0.24324324324324326,0.0,ec105
1100,34,0.5882352941176471,0.14705882352941177,0.2647058823529412,0.0,ec105
1200,33,0.6060606060606061,0.12121212121212122,0.2727272727272727,0.0,ec105
1300,34,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.0,ec105
1400,31,0.5161290322580645,0.1935483870967742,0.2903225806451613,0.0,ec105
1500,35,0.4857142857142857,0.2,0.2857142857142857,0.02857142857142857,ec105
1600,32,0.5,0.1875,0.3125,0.0,ec105
1700,37,0.5675675675675675,0.16216216216216217,0.2702702702702703,0.0,ec105
1800,34,0.5588235294117647,0.20588235294117646,0.23529411764705882,0.0,ec105
1900,37,0.5405405405405406,0.24324324324324326,0.1891891891891892,0.02702702702702703,ec105
2000,36,0.5833333333333334,0.2777777777777778,0.1388888888888889,0.0,ec105
2100,34,0.5588235294117647,0.2647058823529412,0.14705882352941177,0.029411764705882353,ec105
2200,35,0.5428571428571428,0.2857142857142857,0.14285714285714285,0.02857142857142857,ec105
2300,37,0.6216216216216216,0.2702702702702703,0.08108108108108109,0.02702702702702703,ec105
2400,37,0.6216216216216216,0.2972972972972973,0.05405405405405406,0.02702702702702703,ec105
2500,39,0.5641025641025641,0.2564102564102564,0.1282051282051282,0.05128205128205128,ec105
2600,37,0.6216216216216216,0.21621621621621623,0.13513513513513514,0.02702702702702703,ec105
2700,36,0.6388888888888888,0.16666666666666666,0.1388888888888889,0.05555555555555555,ec105
2800,38,0.6578947368421053,0.10526315789473684,0.18421052631578946,0.05263157894736842,ec105
2900,34,0.7352941176470589,0.08823529411764706,0.14705882352941177,0.029411764705882353,ec105
3000,38,0.6578947368421053,0.13157894736842105,0.15789473684210525,0.05263157894736842,ec105
3100,39,0.717948717948718,0.10256410256410256,0.1282051282051282,0.05128205128205128,ec105
3200,39,0.6666666666666666,0.1282051282051282,0.15384615384615385,0.05128205128205128,ec105
3300,38,0.7368421052631579,0.10526315789473684,0.10526315789473684,0.05263157894736842,ec105
3400,38,0.7631578947368421,0.07894736842105263,0.07894736842105263,0.07894736842105263,ec105
3500,38,0.7894736842105263,0.05263157894736842,0.10526315789473684,0.05263157894736842,ec105
3600,39,0.7435897435897436,0.05128205128205128,0.1282051282051282,0.07692307692307693,ec105
3700,37,0.7567567567567568,0.05405405405405406,0.10810810810810811,0.08108108108108109,ec105
3800,38,0.7105263157894737,0.10526315789473684,0.07894736842105263,0.10526315789473684,ec105
3900,38,0.7368421052631579,0.10526315789473684,0.05263157894736842,0.10526315789473684,ec105
4000,39,0.7435897435897436,0.15384615384615385,0.02564102564102564,0.07692307692307693,ec105
4100,41,0.7317073170731707,0.12195121951219512,0.0975609756097561,0.04878048780487805,ec105
4200,40,0.775,0.1,0.075,0.05,ec105
4300,39,0.7692307692307693,0.10256410256410256,0.07692307692307693,0.05128205128205128,ec105
4400,39,0.7692307692307693,0.10256410256410256,0.07692307692307693,0.05128205128205128,ec105
4500,40,0.775,0.1,0.05,0.075,ec105
4600,37,0.8108108108108109,0.08108108108108109,0.02702702702702703,0.08108108108108109,ec105
4700,38,0.8157894736842105,0.07894736842105263,0.05263157894736842,0.05263157894736842,ec105
4800,39,0.7948717948717948,0.07692307692307693,0.07692307692307693,0.05128205128205128,ec105
4900,38,0.8157894736842105,0.07894736842105263,0.05263157894736842,0.05263157894736842,ec105
5000,39,0.8461538461538461,0.05128205128205128,0.05128205128205128,0.05128205128205128,ec105
5100,0,,,,,ec105
5200,0,,,,,ec105
5300,0,,,,,ec105
5400,0,,,,,ec105
0,0,,,,,ec106
100,4,0.0,0.25,0.25,0.5,ec106
200,7,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,ec106
300,20,0.45,0.25,0.3,0.0,ec106
400,23,0.391304347826087,0.2608695652173913,0.34782608695652173,0.0,ec106
500,23,0.4782608695652174,0.17391304347826086,0.34782608695652173,0.0,ec106
600,20,0.55,0.05,0.4,0.0,ec106
700,18,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,ec106
800,20,0.65,0.25,0.1,0.0,ec106
900,23,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.0,ec106
1000,22,0.6818181818181818,0.18181818181818182,0.13636363636363635,0.0,ec106
1100,23,0.6956521739130435,0.17391304347826086,0.08695652173913043,0.043478260869565216,ec106
1200,23,0.6086956521739131,0.21739130434782608,0.13043478260869565,0.043478260869565216,ec106
1300,21,0.6666666666666666,0.19047619047619047,0.14285714285714285,0.0,ec106
1400,21,0.6666666666666666,0.19047619047619047,0.14285714285714285,0.0,ec106
1500,24,0.75,0.125,0.125,0.0,ec106
1600,24,0.7916666666666666,0.125,0.08333333333333333,0.0,ec106
1700,22,0.6818181818181818,0.13636363636363635,0.13636363636363635,0.045454545454545456,ec106
1800,22,0.5,0.2727272727272727,0.13636363636363635,0.09090909090909091,ec106
1900,22,0.5454545454545454,0.2727272727272727,0.13636363636363635,0.045454545454545456,ec106
2000,20,0.5,0.35,0.15,0.0,ec106
2100,23,0.5217391304347826,0.34782608695652173,0.13043478260869565,0.0,ec106
2200,23,0.4782608695652174,0.34782608695652173,0.17391304347826086,0.0,ec106
2300,24,0.4583333333333333,0.2916666666666667,0.25,0.0,ec106
2400,22,0.45454545454545453,0.22727272727272727,0.2727272727272727,0.045454545454545456,ec106
2500,24,0.4166666666666667,0.25,0.2916666666666667,0.041666666666666664,ec106
2600,23,0.34782608695652173,0.391304347826087,0.21739130434782608,0.043478260869565216,ec106
2700,24,0.4166666666666667,0.375,0.16666666666666666,0.041666666666666664,ec106
2800,22,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,ec106
2900,24,0.4583333333333333,0.25,0.25,0.041666666666666664,ec106
3000,25,0.56,0.12,0.32,0.0,ec106
3100,24,0.625,0.08333333333333333,0.2916666666666667,0.0,ec106
3200,24,0.625,0.125,0.25,0.0,ec106
3300,24,0.5833333333333334,0.125,0.2916666666666667,0.0,ec106
3400,21,0.7142857142857143,0.09523809523809523,0.19047619047619047,0.0,ec106
3500,25,0.72,0.08,0.2,0.0,ec106
3600,23,0.7391304347826086,0.08695652173913043,0.17391304347826086,0.0,ec106
3700,22,0.7272727272727273,0.045454545454545456,0.22727272727272727,0.0,ec106
3800,23,0.782608695652174,0.043478260869565216,0.17391304347826086,0.0,ec106
3900,24,0.875,0.041666666666666664,0.08333333333333333,0.0,ec106
4000,25,0.8,0.12,0.08,0.0,ec106
4100,25,0.76,0.12,0.12,0.0,ec106
4200,20,0.8,0.05,0.15,0.0,ec106
4300,23,0.8695652173913043,0.043478260869565216,0.08695652173913043,0.0,ec106
4400,24,0.875,0.041666666666666664,0.08333333333333333,0.0,ec106
4500,25,0.8,0.08,0.08,0.04,ec106
4600,24,0.7916666666666666,0.08333333333333333,0.08333333333333333,0.041666666666666664,ec106
4700,23,0.9130434782608695,0.043478260869565216,0.043478260869565216,0.0,ec106
4800,25,0.84,0.08,0.04,0.04,ec106
4900,24,0.8333333333333334,0.08333333333333333,0.041666666666666664,0.041666666666666664,ec106
5000,24,0.7916666666666666,0.08333333333333333,0.08333333333333333,0.041666666666666664,ec106
5100,0,,,,,ec106
5200,0,,,,,ec106
5300,0,,,,,ec106
5400,0,,,,,ec106
0,0,,,,,ec107
100,7,0.14285714285714285,0.0,0.0,0.8571428571428571,ec107
200,10,0.1,0.0,0.0,0.9,ec107
300,19,0.3684210526315789,0.42105263157894735,0.05263157894736842,0.15789473684210525,ec107
400,45,0.28888888888888886,0.4,0.26666666666666666,0.044444444444444446,ec107
500,43,0.27906976744186046,0.3953488372093023,0.27906976744186046,0.046511627906976744,ec107
600,42,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.0,ec107
700,39,0.46153846153846156,0.3333333333333333,0.20512820512820512,0.0,ec107
800,36,0.6944444444444444,0.16666666666666666,0.1388888888888889,0.0,ec107
900,32,0.78125,0.125,0.09375,0.0,ec107
1000,35,0.8571428571428571,0.02857142857142857,0.11428571428571428,0.0,ec107
1100,41,0.8780487804878049,0.024390243902439025,0.0975609756097561,0.0,ec107
1200,37,0.918918918918919,0.0,0.08108108108108109,0.0,ec107
1300,34,0.8823529411764706,0.029411764705882353,0.08823529411764706,0.0,ec107
1400,33,0.8181818181818182,0.06060606060606061,0.12121212121212122,0.0,ec107
1500,34,0.8529411764705882,0.058823529411764705,0.08823529411764706,0.0,ec107
1600,33,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,ec107
1700,35,0.7714285714285715,0.11428571428571428,0.11428571428571428,0.0,ec107
1800,34,0.7352941176470589,0.08823529411764706,0.11764705882352941,0.058823529411764705,ec107
1900,38,0.6842105263157895,0.15789473684210525,0.13157894736842105,0.02631578947368421,ec107
2000,39,0.6410256410256411,0.1282051282051282,0.20512820512820512,0.02564102564102564,ec107
2100,39,0.6153846153846154,0.15384615384615385,0.20512820512820512,0.02564102564102564,ec107
2200,43,0.6046511627906976,0.11627906976744186,0.2558139534883721,0.023255813953488372,ec107
2300,41,0.5853658536585366,0.07317073170731707,0.2926829268292683,0.04878048780487805,ec107
2400,42,0.5952380952380952,0.09523809523809523,0.2857142857142857,0.023809523809523808,ec107
2500,41,0.5853658536585366,0.0975609756097561,0.2682926829268293,0.04878048780487805,ec107
2600,40,0.65,0.125,0.2,0.025,ec107
2700,42,0.6428571428571429,0.11904761904761904,0.21428571428571427,0.023809523809523808,ec107
2800,41,0.7073170731707317,0.0975609756097561,0.1951219512195122,0.0,ec107
2900,40,0.725,0.125,0.15,0.0,ec107
3000,41,0.7804878048780488,0.12195121951219512,0.0975609756097561,0.0,ec107
3100,42,0.7857142857142857,0.11904761904761904,0.09523809523809523,0.0,ec107
3200,45,0.7777777777777778,0.1111111111111111,0.08888888888888889,0.022222222222222223,ec107
3300,42,0.7857142857142857,0.11904761904761904,0.09523809523809523,0.0,ec107
3400,42,0.7857142857142857,0.11904761904761904,0.09523809523809523,0.0,ec107
3500,43,0.8604651162790697,0.06976744186046512,0.06976744186046512,0.0,ec107
3600,41,0.9024390243902439,0.024390243902439025,0.07317073170731707,0.0,ec107
3700,41,0.9024390243902439,0.024390243902439025,0.07317073170731707,0.0,ec107
3800,43,0.8837209302325582,0.046511627906976744,0.06976744186046512,0.0,ec107
3900,42,0.8809523809523809,0.047619047619047616,0.07142857142857142,0.0,ec107
4000,43,0.8604651162790697,0.046511627906976744,0.09302325581395349,0.0,ec107
4100,43,0.8372093023255814,0.046511627906976744,0.11627906976744186,0.0,ec107
4200,44,0.8181818181818182,0.06818181818181818,0.11363636363636363,0.0,ec107
4300,42,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,ec107
4400,42,0.8809523809523809,0.023809523809523808,0.09523809523809523,0.0,ec107
4500,43,0.8604651162790697,0.023255813953488372,0.11627906976744186,0.0,ec107
4600,44,0.8863636363636364,0.022727272727272728,0.09090909090909091,0.0,ec107
4700,43,0.9069767441860465,0.0,0.09302325581395349,0.0,ec107
4800,41,0.926829268292683,0.0,0.07317073170731707,0.0,ec107
4900,43,0.8837209302325582,0.06976744186046512,0.046511627906976744,0.0,ec107
5000,42,0.8809523809523809,0.09523809523809523,0.023809523809523808,0.0,ec107
5100,0,,,,,ec107
5200,0,,,,,ec107
5300,0,,,,,ec107
5400,0,,,,,ec107
0,0,,,,,ec108
100,5,0.0,0.0,0.0,1.0,ec108
200,9,0.0,0.0,0.0,1.0,ec108
300,13,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.46153846153846156,ec108
400,44,0.25,0.3181818181818182,0.36363636363636365,0.06818181818181818,ec108
500,40,0.3,0.275,0.4,0.025,ec108
600,45,0.28888888888888886,0.28888888888888886,0.3333333333333333,0.08888888888888889,ec108
700,37,0.35135135135135137,0.2972972972972973,0.32432432432432434,0.02702702702702703,ec108
800,37,0.5135135135135135,0.35135135135135137,0.13513513513513514,0.0,ec108
900,39,0.6410256410256411,0.20512820512820512,0.15384615384615385,0.0,ec108
1000,41,0.6585365853658537,0.1951219512195122,0.14634146341463414,0.0,ec108
1100,40,0.775,0.15,0.075,0.0,ec108
1200,40,0.65,0.225,0.1,0.025,ec108
1300,35,0.6,0.22857142857142856,0.11428571428571428,0.05714285714285714,ec108
1400,33,0.6666666666666666,0.21212121212121213,0.12121212121212122,0.0,ec108
1500,32,0.75,0.15625,0.0625,0.03125,ec108
1600,30,0.6333333333333333,0.13333333333333333,0.16666666666666666,0.06666666666666667,ec108
1700,37,0.6486486486486487,0.24324324324324326,0.10810810810810811,0.0,ec108
1800,43,0.6511627906976745,0.18604651162790697,0.13953488372093023,0.023255813953488372,ec108
1900,39,0.5384615384615384,0.23076923076923078,0.15384615384615385,0.07692307692307693,ec108
2000,40,0.5,0.175,0.175,0.15,ec108
2100,37,0.4594594594594595,0.1891891891891892,0.1891891891891892,0.16216216216216217,ec108
2200,34,0.4411764705882353,0.20588235294117646,0.2647058823529412,0.08823529411764706,ec108
2300,39,0.4358974358974359,0.20512820512820512,0.2564102564102564,0.10256410256410256,ec108
2400,39,0.48717948717948717,0.2564102564102564,0.23076923076923078,0.02564102564102564,ec108
2500,39,0.4358974358974359,0.28205128205128205,0.23076923076923078,0.05128205128205128,ec108
2600,40,0.475,0.25,0.25,0.025,ec108
2700,40,0.45,0.2,0.325,0.025,ec108
2800,37,0.5945945945945946,0.1891891891891892,0.21621621621621623,0.0,ec108
2900,41,0.5365853658536586,0.24390243902439024,0.1951219512195122,0.024390243902439025,ec108
3000,36,0.5833333333333334,0.16666666666666666,0.25,0.0,ec108
3100,38,0.5263157894736842,0.18421052631578946,0.2894736842105263,0.0,ec108
3200,42,0.5238095238095238,0.16666666666666666,0.2619047619047619,0.047619047619047616,ec108
3300,42,0.5476190476190477,0.14285714285714285,0.23809523809523808,0.07142857142857142,ec108
3400,40,0.575,0.125,0.225,0.075,ec108
3500,44,0.5681818181818182,0.13636363636363635,0.25,0.045454545454545456,ec108
3600,43,0.5581395348837209,0.20930232558139536,0.18604651162790697,0.046511627906976744,ec108
3700,44,0.5909090909090909,0.22727272727272727,0.1590909090909091,0.022727272727272728,ec108
3800,44,0.5909090909090909,0.20454545454545456,0.1590909090909091,0.045454545454545456,ec108
3900,42,0.5952380952380952,0.23809523809523808,0.11904761904761904,0.047619047619047616,ec108
4000,44,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,ec108
4100,45,0.6666666666666666,0.17777777777777778,0.08888888888888889,0.06666666666666667,ec108
4200,44,0.7045454545454546,0.1590909090909091,0.09090909090909091,0.045454545454545456,ec108
4300,44,0.7272727272727273,0.11363636363636363,0.09090909090909091,0.06818181818181818,ec108
4400,43,0.7209302325581395,0.13953488372093023,0.09302325581395349,0.046511627906976744,ec108
4500,46,0.7391304347826086,0.13043478260869565,0.10869565217391304,0.021739130434782608,ec108
4600,45,0.7555555555555555,0.08888888888888889,0.1111111111111111,0.044444444444444446,ec108
4700,45,0.7777777777777778,0.044444444444444446,0.1111111111111111,0.06666666666666667,ec108
4800,44,0.8181818181818182,0.022727272727272728,0.11363636363636363,0.045454545454545456,ec108
4900,42,0.8333333333333334,0.047619047619047616,0.09523809523809523,0.023809523809523808,ec108
5000,41,0.8048780487804879,0.04878048780487805,0.12195121951219512,0.024390243902439025,ec108
5100,0,,,,,ec108
5200,0,,,,,ec108
5300,0,,,,,ec108
5400,0,,,,,ec108
0,0,,,,,ec109
100,11,0.18181818181818182,0.0,0.09090909090909091,0.7272727272727273,ec109
200,16,0.1875,0.0,0.0625,0.75,ec109
300,27,0.14814814814814814,0.4074074074074074,0.3333333333333333,0.1111111111111111,ec109
400,30,0.16666666666666666,0.4,0.3333333333333333,0.1,ec109
500,33,0.30303030303030304,0.3939393939393939,0.2727272727272727,0.030303030303030304,ec109
600,36,0.3055555555555556,0.4166666666666667,0.25,0.027777777777777776,ec109
700,33,0.42424242424242425,0.3333333333333333,0.21212121212121213,0.030303030303030304,ec109
800,29,0.5172413793103449,0.2413793103448276,0.2413793103448276,0.0,ec109
900,30,0.5333333333333333,0.23333333333333334,0.23333333333333334,0.0,ec109
1000,30,0.7,0.13333333333333333,0.16666666666666666,0.0,ec109
1100,32,0.75,0.09375,0.15625,0.0,ec109
1200,31,0.5806451612903226,0.16129032258064516,0.22580645161290322,0.03225806451612903,ec109
1300,30,0.4666666666666667,0.16666666666666666,0.3333333333333333,0.03333333333333333,ec109
1400,37,0.5135135135135135,0.16216216216216217,0.2702702702702703,0.05405405405405406,ec109
1500,35,0.45714285714285713,0.17142857142857143,0.3142857142857143,0.05714285714285714,ec109
