study order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
1,1423,587,1,60,1072,243,950,719,491.0733,491.0733,491.0733,103,5,2,1,2,14,1,0.005003337,3,1,0.6038719
2,1102,393,1,60,859,761,1299,787,440.5054,440.5054,440.5054,76,5,1,2,6,13,2,0.46441459999999996,2,1,0.6300331
3,500,482,1,-60,825,531,620,788,328.6883,328.6883,328.6883,89,5,1,3,10,9,2,1.035344,1,1,0.7955875
4,1134,490,1,60,1355,734,1456,421,329.3099,329.3099,329.3099,73,5,2,4,7,15,1,0.4424598,2,3,0.6090880999999999
5,335,371,1,60,645,834,891,334,557.2298,557.2298,557.2298,63,5,1,5,15,1,2,0.46528590000000003,3,2,2.6301080000000003
6,1654,800,1,60,1421,249,1060,726,598.5917,598.5917,598.5917,13,5,2,6,14,3,3,0.5803885,1,2,0.5377881999999999
7,1263,502,1,60,1482,681,1528,402,283.2402,283.2402,283.2402,111,5,1,7,11,10,3,0.4463656,3,2,0.7136348000000001
8,1463,812,1,-60,863,802,1172,287,600.2549,600.2549,600.2549,80,5,2,8,13,2,3,0.8657628,1,3,0.7292247
9,1020,392,1,60,932,662,1210,603,283.9384,283.9384,283.9384,61,5,2,9,16,6,3,0.5477028,3,2,0.737434
10,1094,606,1,-60,1216,245,1468,531,381.4459,381.4459,381.4459,19,5,1,10,4,4,2,0.2612363,1,1,0.7545536999999999
11,313,520,1,60,574,836,717,452,409.6828,409.6828,409.6828,77,5,1,11,9,11,1,0.7649658,3,2,0.7867439
12,1651,787,1,60,1644,396,1309,598,390.7493,390.7493,390.7493,104,5,1,12,12,16,1,0.7058071,1,2,0.44593469999999996
13,783,765,1,60,721,328,374,600,441.0283,441.0283,441.0283,66,5,2,13,8,8,1,0.7421131,3,1,0.5722633
14,817,353,1,-60,696,725,434,434,391.4716,391.4716,391.4716,96,5,2,14,3,12,1,0.7182725999999999,3,1,0.6089694
15,1122,493,1,60,604,245,648,818,574.7182,574.7182,574.7182,67,5,1,15,5,7,1,0.31934270000000003,2,2,0.6735696999999999
16,1431,263,1,60,912,494,1372,828,568.0722,568.0722,568.0722,106,5,2,16,1,5,-1,5.0,3,1,0.5452263
17,1437,691,2,60,1289,243,975,595,471.8686,471.8686,471.8686,68,4,2,17,24,29,1,0.2788622,1,2,0.4353157
18,677,346,2,60,500,702,897,677,397.4431,397.4431,397.4431,48,4,1,18,19,30,-1,5.0,2,1,0.7033494
19,264,701,2,60,755,836,626,343,509.1247,509.1247,509.1247,119,4,1,19,28,21,2,0.4207291,2,2,0.5904948
20,1531,314,2,60,984,367,1303,814,549.5307,549.5307,549.5307,59,4,1,20,29,31,2,0.9612456,3,1,0.8573315
21,730,499,2,60,1031,824,1162,401,442.9763,442.9763,442.9763,71,4,1,21,25,23,1,0.2727236,1,1,1.997062
22,276,770,2,60,536,838,465,579,268.7043,268.7043,268.7043,47,4,2,22,20,19,-1,5.0,3,3,1.115799
23,678,527,2,60,310,279,279,722,444.1013,444.1013,444.1013,21,4,2,23,26,26,1,0.4183713,3,1,0.6581062
24,392,707,2,60,911,839,766,324,535.3177,535.3177,535.3177,34,4,1,24,22,24,-1,5.0,2,2,0.5548666
25,1617,503,2,-60,1131,835,1086,248,589.0552,589.0552,589.0552,7,4,2,25,32,17,2,0.4075053,3,1,0.6109241
26,518,337,2,60,438,567,677,521,243.181,243.181,243.181,8,4,1,26,30,22,2,0.2953824,3,2,0.5325816999999999
27,1124,412,2,-60,1510,445,1288,763,387.4235,387.4235,387.4235,127,4,2,27,18,28,-1,5.0,2,2,0.680144
28,1011,453,2,60,1410,839,1545,301,555.2117,555.2117,555.2117,109,4,1,28,27,20,2,0.36638930000000003,3,2,0.7084088000000001
29,546,262,2,-60,885,652,378,751,517.0542,517.0542,517.0542,115,4,2,29,21,27,-1,5.0,2,1,0.6773704
30,1007,626,2,-60,802,759,789,515,244.6324,244.6324,244.6324,121,4,2,30,23,32,2,0.41865059999999993,2,3,0.5723057
31,809,778,2,-60,1020,440,1207,792,398.2462,398.2462,398.2462,82,4,2,31,17,18,1,0.5211945,1,1,0.4320147
32,892,787,2,-60,1038,429,1275,734,386.6497,386.6497,386.6497,98,4,1,32,31,25,1,0.552802,1,1,0.5458887
33,1086,393,3,60,1247,758,1483,436,399.3219,399.3219,399.3219,72,6,1,33,43,38,2,0.3960877,1,1,0.7547229999999999
34,299,560,3,60,692,839,737,359,481.918,481.918,481.918,4,6,1,34,40,36,2,0.938025,1,1,0.6760373000000001
35,926,594,3,60,1451,837,1399,261,578.4618,578.4618,578.4618,16,6,1,35,33,39,3,1.8551490000000002,3,3,0.6473649
36,756,388,3,-60,693,783,382,531,400.406,400.406,400.406,53,6,2,36,37,48,3,1.874852,3,1,3.11622
37,267,680,3,60,511,622,339,440,250.5674,250.5674,250.5674,54,6,1,37,34,43,2,0.5291749,1,1,0.5096389
38,257,682,3,-60,591,245,803,753,550.5969,550.5969,550.5969,101,6,2,38,42,40,1,0.4606628,1,1,0.6164510999999999
39,785,550,3,60,1056,719,1067,400,319.412,319.412,319.412,1,6,2,39,46,47,3,0.8632101000000001,1,1,0.5305161
40,1197,301,3,-60,1129,611,894,397,317.8443,317.8443,317.8443,18,6,1,40,45,46,1,0.6937916999999999,2,3,0.9065171999999999
41,1489,470,3,-60,1066,833,963,285,557.585,557.585,557.585,23,6,2,41,36,45,3,1.2149159999999999,1,2,1.739543
42,903,484,3,-60,1228,245,1272,646,402.995,402.995,402.995,24,6,1,42,38,33,3,0.7239944,2,3,0.6804069
43,1471,776,3,60,1306,290,968,676,512.844,512.844,512.844,110,6,1,43,35,44,1,0.3931679,1,2,0.7429677
44,898,432,3,60,1000,839,1302,547,420.0488,420.0488,420.0488,74,6,1,44,48,42,3,0.4155916,3,2,0.758256
45,1384,293,3,60,881,400,1225,782,514.2004,514.2004,514.2004,25,6,2,45,44,34,1,0.43385,3,1,0.5229287
46,1180,832,3,-60,712,800,974,411,468.6971,468.6971,468.6971,78,6,2,46,39,35,2,2.172376,3,1,1.123551
47,994,658,3,60,1226,560,1025,408,251.9147,251.9147,251.9147,64,6,2,47,47,37,1,0.37751890000000005,1,1,0.7748625
48,1572,634,3,60,1369,241,1130,613,442.4986,442.4986,442.4986,35,6,2,48,41,41,1,0.43300029999999995,1,2,0.8682191999999999
49,1543,292,4,-60,1490,836,1045,518,546.8821,546.8821,546.8821,124,7,2,49,58,55,1,0.5026219,1,2,0.46437920000000005
50,722,458,4,-60,1098,266,1076,688,422.1564,422.1564,422.1564,128,7,2,50,51,51,3,0.2952393,1,1,0.3555759
51,602,599,4,60,380,367,290,675,321.123,321.123,321.123,99,7,1,51,52,54,1,0.4172464,3,1,0.6274603
52,346,702,4,-60,262,242,702,399,467.488,467.488,467.488,85,7,1,52,53,64,1,0.6291557,3,2,0.7323198000000001
53,441,837,4,-60,512,422,836,691,421.1187,421.1187,421.1187,100,7,1,53,49,50,2,2.652986,1,1,0.3162143
54,905,715,4,60,789,442,611,679,296.1959,296.1959,296.1959,45,7,2,54,54,58,1,1.626344,3,1,0.7011897
55,1240,800,4,-60,1164,323,1615,496,482.7432,482.7432,482.7432,42,7,2,55,63,63,2,0.48646819999999996,3,2,2.065298
56,813,641,4,-60,526,787,543,466,321.753,321.753,321.753,81,7,2,56,56,62,1,0.8688021,3,1,0.6237399
57,325,777,4,-60,243,458,560,547,328.8237,328.8237,328.8237,88,7,2,57,50,57,1,0.3446127,2,1,0.7578483
58,438,756,4,-60,357,245,840,430,517.5713,517.5713,517.5713,17,7,2,58,55,52,2,0.3250723,1,3,0.5708854999999999
59,1250,659,4,60,1064,242,796,612,456.4263,456.4263,456.4263,9,7,1,59,57,60,2,0.5436741999999999,1,2,0.47284030000000005
60,808,244,4,60,602,805,1191,703,597.8043,597.8043,597.8043,30,7,1,60,59,53,2,0.4877518,2,1,1.105899
61,835,515,4,60,1142,834,1265,409,442.8724,442.8724,442.8724,125,7,1,61,60,49,1,0.3599806,3,2,1.610682
62,1273,268,4,-60,1115,725,798,360,483.8274,483.8274,483.8274,122,7,2,62,61,61,1,0.5185116,3,1,0.6357625
63,524,418,4,60,757,598,797,306,295.0813,295.0813,295.0813,51,7,1,63,64,56,2,1.825104,3,2,0.6844941
64,1097,345,4,60,1060,834,1502,621,490.1031,490.1031,490.1031,26,7,1,64,62,59,2,0.31119,1,3,0.6785873
