recog order,loc1x,loc1y,block,angle,loc3x,loc3y,loc2x,loc2y,loc1-loc2dist,loc1-loc3dist,loc2-loc3dist,picid,contextid,cond,study order,refresh order,recog order,same/diff,same/diff rt,recog button,recog loc,recog rt
1,1130.0,223.0,1,-60,1336.0,715.0,1659.0,291.0,534,534,534,4,1,1,3,2,1,2,176,8,2,89
2,1004.0,895.0,1,-60,1158.0,629.0,851.0,629.0,307,307,307,78,1,2,11,1,2,0,259,6,2,94
3,1566.0,892.0,1,-60,1783.0,123.0,1009.0,320.0,799,799,799,83,1,2,1,11,3,1,118,7,1,63
4,433.0,516.0,1,60,793.0,121.0,954.0,630.0,534,534,534,75,1,1,15,4,4,1,125,6,1,92
5,138.0,860.0,1,-60,509.0,959.0,409.0,589.0,384,384,384,73,1,1,9,9,5,2,94,6,1,28
6,799.0,934.0,1,60,301.0,863.0,611.0,467.0,504,504,504,127,1,2,12,14,6,2,79,6,3,139
7,530.0,829.0,1,-60,1253.0,767.0,838.0,173.0,725,725,725,5,1,1,7,15,7,2,56,7,2,185
8,525.0,655.0,1,60,808.0,202.0,1058.0,673.0,534,534,534,110,1,2,10,8,8,1,77,6,1,54
9,1793.0,775.0,1,60,1487.0,621.0,1773.0,433.0,343,343,343,17,1,1,16,6,9,3,237,8,1,88
10,1760.0,834.0,1,-60,1487.0,126.0,1011.0,717.0,759,759,759,98,1,2,8,13,10,1,68,8,1,45
11,1296.0,686.0,1,60,1348.0,383.0,1584.0,579.0,308,308,308,46,1,1,2,3,11,2,121,7,3,115
12,1131.0,274.0,1,60,965.0,749.0,636.0,367.0,504,504,504,16,1,1,6,5,12,1,89,6,2,137
13,1465.0,156.0,1,-60,800.0,438.0,1377.0,874.0,724,724,724,119,1,2,13,10,13,2,109,8,1,90
14,909.0,910.0,1,-60,1252.0,892.0,1065.0,605.0,343,343,343,115,1,2,14,12,14,1,193,6,1,70
15,1468.0,736.0,1,-60,1329.0,130.0,874.0,554.0,622,622,622,47,1,2,4,16,15,1,60,8,1,82
16,1074.0,277.0,1,60,728.0,794.0,453.0,236.0,623,623,623,20,1,1,5,7,16,1,74,6,2,96
