loc1x	loc1y	block	angle	loc3x	loc3y	loc2x	loc2y	loc1-loc2dist	loc1-loc3dist	loc2-loc3dist	picid	contextid	cond	study order	refresh order	recog order	same/diff	same/diff rt	recog button	recog loc	recog rt
414	102	1	60	739	-5	483	-233	343	343	343	102	1	1	12	3	1	2	54	6	1	32
163	105	1	60	33	-322	-272	4	447	447	447	34	1	1	2	13	2	1	277	6	2	56
-216	100	1	60	29	300	79	-12	316	316	316	65	1	2	7	14	3	1	113	6	1	35
439	-321	1	-60	824	46	314	195	531	531	531	126	1	1	10	5	4	2	50	7	1	36
515	-20	1	-60	220	420	-13	-56	530	530	530	119	1	2	3	15	5	1	73	8	1	34
-242	91	1	-60	-517	-62	-247	-224	316	316	316	71	1	1	6	8	6	2	65	8	1	74
753	176	1	60	507	-414	118	94	641	641	641	106	1	1	13	7	7	2	52	8	1	33
-506	345	1	-60	-327	-320	160	167	690	690	690	112	1	2	15	6	8	1	50	6	1	26
-345	20	1	60	-129	-245	-467	-299	342	342	342	7	1	2	5	9	9	1	52	7	1	77
423	135	1	-60	-267	413	-163	-324	745	745	745	26	1	1	8	16	10	2	63	7	2	56
814	-262	1	60	232	-414	391	166	602	602	602	127	1	2	16	2	11	1	56	8	1	29
723	-277	1	60	175	-417	327	128	567	567	567	81	1	2	11	12	12	1	43	8	1	26
573	-250	1	60	674	-14	827	-219	256	256	256	72	1	1	1	4	13	2	60	6	1	116
41	57	1	-60	-451	415	-515	-191	609	609	609	29	1	1	4	1	14	1	124	8	1	55
29	160	1	-60	21	415	-196	280	255	255	255	70	1	2	14	10	15	1	74	8	1	64
-407	-144	1	60	-247	273	34	-74	447	447	447	66	1	2	9	11	16	1	48	6	1	34
-11	67	2	60	15	314	215	168	248	248	248	89	8	2	25	18	17	1	53	6	1	30
-470	139	2	60	299	419	156	-387	818	818	818	3	8	1	18	19	18	2	86	6	1	23
-630	319	2	-60	-264	-329	114	311	745	745	745	19	8	1	26	30	19	2	62	6	1	22
796	-249	2	-60	530	420	84	-146	720	720	720	100	8	1	22	31	20	2	73	8	1	26
354	-216	2	-60	186	126	-26	-191	381	381	381	2	8	1	32	21	21	2	51	8	1	29
-606	-332	2	60	-512	414	86	-40	752	752	752	122	8	2	17	28	22	1	50	6	1	27
-722	191	2	60	-576	-9	-823	-35	248	248	248	8	8	1	21	32	23	2	50	7	1	25
-809	410	2	60	-325	151	-792	-138	549	549	549	12	8	1	20	24	24	2	37	6	1	36
445	-247	2	60	-102	-284	139	208	549	549	549	88	8	2	31	20	25	1	69	8	1	32
