,block,cond,duration,end,endloc,event,loc1end,loc1start,loc1x,loc1y,loc2end,loc2start,loc2x,loc2y,loc3end,loc3start,loc3x,loc3y,objonset,recog loc,same/diff,start,startloc,sub,trialend,trialnum,xend,xstart,yend,ystart
0,1,1.0,62,335.0,loc2end,ESACC,581.2595977702218,54.2121757541606,1001.0,483.0,32.69740050829727,560.4681614507643,445.0,731.0,611.2174081290551,606.9343951367396,509.0,125.0,2035.0,1.0,1.0,275.0,loc1start,ec107,9405.0,1,477.4,966.0,735.4,524.4
1,1,1.0,286,621.0,,EFIX,,622.0319043264582,1001.0,483.0,,13.315029102484145,445.0,731.0,,614.8031310915715,509.0,125.0,2035.0,1.0,1.0,337.0,loc2start,ec107,9405.0,1,,432.3,,735.0
2,1,1.0,14,635.0,loc2end,ESACC,663.5421689689359,629.2618691768952,1001.0,483.0,54.75226022731846,20.554804791094465,445.0,731.0,639.5518821800151,618.1654309325296,509.0,125.0,2035.0,1.0,1.0,623.0,loc2start,ec107,9405.0,1,395.5,425.5,754.4,737.5
3,1,1.0,954,1589.0,,EFIX,,649.6074506961878,1001.0,483.0,,40.88324840322744,445.0,731.0,,632.9810739666708,509.0,125.0,2035.0,1.0,1.0,637.0,loc2start,ec107,9405.0,1,,408.8,,750.0
4,1,1.0,22,1611.0,loc2end,ESACC,569.4041183553206,645.9414601958911,1001.0,483.0,60.44046657662402,37.21787205093808,445.0,731.0,629.756024187145,630.8860198165751,509.0,125.0,2035.0,1.0,1.0,1591.0,loc2start,ec107,9405.0,1,500.6,412.1,754.7,748.4
5,1,1.0,272,1883.0,,EFIX,,588.0105186134003,1001.0,483.0,,36.92654871498282,445.0,731.0,,625.4243119674834,509.0,125.0,2035.0,1.0,1.0,1613.0,loc2start,ec107,9405.0,1,,476.9,,749.6
6,1,1.0,22,1905.0,loc2end,ESACC,679.3486586429681,600.1640192480719,1001.0,483.0,70.67248403728286,29.947453981933137,445.0,731.0,651.2242317358898,629.7320461910765,509.0,125.0,2035.0,1.0,1.0,1885.0,loc2start,ec107,9405.0,1,382.4,465.1,763.8,753.2
7,1,1.0,1346,3251.0,,EFIX,,644.7489433880446,1001.0,483.0,,36.84019543922101,445.0,731.0,,635.1053455923671,509.0,125.0,2035.0,1.0,1.0,1907.0,loc2start,ec107,9405.0,1,,415.6,,753.2
8,1,1.0,40,3291.0,screen,ESACC,285.968057656795,628.6312830268631,1001.0,483.0,366.0548182991175,19.851700179077877,445.0,731.0,644.4440472220998,618.7248903996025,509.0,125.0,2035.0,1.0,1.0,3253.0,loc2start,ec107,9405.0,1,809.3,426.5,695.2,738.2
9,1,1.0,550,3841.0,,EFIX,,283.45428202798416,1001.0,483.0,,366.40296123257514,445.0,731.0,,641.4377054710768,509.0,125.0,2035.0,1.0,1.0,3293.0,screen,ec107,9405.0,1,,809.3,,691.8
10,1,1.0,34,3875.0,loc2end,ESACC,524.0835238776355,280.03803313121597,1001.0,483.0,91.65336873241485,367.46006585750234,445.0,731.0,601.329144479128,638.1003839522431,509.0,125.0,2035.0,1.0,1.0,3843.0,screen,ec107,9405.0,1,536.5,809.9,725.7,687.7
